?ºÏûê,Í≥?Î™?,?úÏö∏,Î∂Ä???ÄÍµ??∏Ï≤ú,Í¥ëÏ£º,?Ä???∏ÏÇ∞,?∏Ï¢Ö,Í≤ΩÍ∏∞,Í∞ïÏõê,Ï∂©Î∂Å,Ï∂©ÎÇ®,?ÑÎ∂Å,?ÑÎÇ®,Í≤ΩÎ∂Å,Í≤ΩÎÇ®,?úÏ£º,Í≤Ä???ÑÏ†Å(Î™?,"30,605,187","5,942,573","1,822,869","1,338,562","1,777,328","891,280","891,766","656,135","242,400","8,270,720","899,658","959,584","1,238,468","1,026,509","1,001,462","1,403,139","1,837,675","387,441","17,618"
2/18/2020,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
2/19/2020,34,2,-,27,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,,,,,,,,,,,,,,,,
2/20/2020,16,-,-,12,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,,,,,,,,,,,,,,,,
2/21/2020,74,5,-,44,-,1,-,-,-,1,-,1,1,1,-,17,2,1,-,,,,,,,,,,,,,,,,
2/22/2020,190,2,2,67,-,3,1,-,1,2,-,2,-,1,-,106,2,1,-,,,,,,,,,,,,,,,,
2/23/2020,210,3,7,136,1,1,1,1,-,8,6,-,-,-,-,39,7,-,-,,,,,,,,,,,,,,,,
2/24/2020,207,4,8,152,-,2,1,-,-,12,-,-,-,-,-,19,9,-,-,,,,,,,,,,,,,,,,
2/25/2020,130,7,18,54,-,-,-,1,-,5,-,-,-,-,-,44,1,-,-,,,,,,,,,,,,,,,,
2/26/2020,253,8,13,184,1,-,-,1,-,3,-,2,1,-,-,36,4,-,-,,,,,,,,,,,,,,,,
2/27/2020,449,10,8,340,-,-,5,3,-,12,-,2,5,-,-,53,11,-,-,,,,,,,,,,,,,,,,
2/28/2020,427,7,5,296,1,-,4,5,-,11,-,3,9,2,-,74,10,-,-,,,,,,,,,,,,,,,,
2/29/2020,909,12,14,742,2,-,1,6,-,10,1,-,32,-,1,75,13,-,-,,,,,,,,,,,,,,,,
3/1/2020,595,8,4,512,-,-,-,-,-,8,-,1,12,-,1,48,1,-,-,,,,,,,,,,,,,,,,
3/2/2020,686,9,6,517,1,-,1,3,-,8,12,-,17,1,1,108,2,-,-,,,,,,,,,,,,,,,,
3/3/2020,600,7,2,520,-,2,-,-,-,2,1,-,4,1,-,59,1,1,-,,,,,,,,,,,,,,,,
3/4/2020,516,-,3,398,1,2,1,3,-,9,1,-,1,-,-,95,2,-,-,,,,,,,,,,,,,,,,
3/5/2020,438,5,-,326,1,-,1,-,-,7,2,1,4,-,-,81,9,1,-,,,,,,,,,,,,,,,,
3/6/2020,518,2,3,367,-,-,2,-,-,10,2,3,4,-,-,122,3,-,-,,,,,,,,,,,,,,,,
3/7/2020,483,3,1,390,-,-,-,-,1,10,1,5,2,-,-,65,5,-,-,,,,,,,,,,,,,,,,
3/8/2020,367,12,1,297,-,-,-,1,1,11,1,4,6,-,-,32,1,-,-,,,,,,,,,,,,,,,,
3/9/2020,248,10,-,190,-,2,-,-,3,12,1,1,4,-,-,25,-,-,-,,,,,,,,,,,,,,,,
3/10/2020,131,11,-,92,4,-,-,-,2,10,-,-,2,-,-,10,-,-,-,,,,,,,,,,,,,,,,
3/11/2020,242,53,2,131,12,-,-,1,2,11,1,2,8,-,-,18,1,-,-,,,,,,,,,,,,,,,,
3/12/2020,114,19,2,72,-,-,2,-,5,3,-,-,2,-,-,8,1,-,-,,,,,,,,,,,,,,,,
3/13/2020,110,12,1,61,2,-,2,2,17,8,-,-,1,-,-,4,-,-,-,,,,,,,,,,,,,,,,
3/14/2020,107,13,3,62,1,-,-,-,6,15,-,1,-,-,-,6,-,-,-,,,,,,,,,,,,,,,,
3/15/2020,76,9,3,41,1,1,-,1,1,11,-,3,-,-,-,4,-,-,1,,,,,,,,,,,,,,,,
3/16/2020,74,6,1,35,1,-,-,-,1,20,-,-,-,-,-,7,-,-,3,,,,,,,,,,,,,,,,
3/17/2020,84,12,-,32,1,-,-,-,-,31,-,-,-,-,-,5,1,-,2,,,,,,,,,,,,,,,,
3/18/2020,93,5,-,46,1,1,-,2,1,15,1,1,3,2,1,9,-,-,5,,,,,,,,,,,,,,,,
3/19/2020,152,12,-,97,-,-,-,6,-,18,-,1,-,1,-,12,-,-,5,,,,,,,,,,,,,,,,
3/20/2020,87,17,1,34,4,1,-,-,-,14,-,-,1,-,-,13,1,-,1,,,,,,,,,,,,,,,,
3/21/2020,147,15,-,69,4,-,-,-,-,12,-,1,-,-,-,40,-,-,6,,,,,,,,,,,,,,,,
3/22/2020,98,10,-,43,-,1,2,-,-,16,-,1,1,-,1,11,1,-,11,,,,,,,,,,,,,,,,
3/23/2020,64,6,1,24,-,-,-,-,1,14,-,2,-,-,-,2,1,-,13,,,,,,,,,,,,,,,,
3/24/2020,76,4,2,31,1,-,-,-,-,15,-,1,-,-,-,1,1,-,20,,,,,,,,,,,,,,,,
3/25/2020,100,13,1,14,1,-,-,1,2,21,1,-,3,-,2,5,-,2,34,,,,,,,,,,,,,,,,
3/26/2020,104,13,-,26,1,-,6,-,-,14,-,1,1,-,-,12,-,-,30,,,,,,,,,,,,,,,,
3/27/2020,91,12,1,34,3,1,1,2,-,11,-,2,-,-,-,9,1,1,13,,,,,,,,,,,,,,,,
3/28/2020,146,18,1,71,5,-,-,-,-,21,1,-,2,-,-,2,-,1,24,,,,,,,,,,,,,,,,
3/29/2020,105,20,3,23,7,-,3,-,2,15,2,-,1,2,1,2,3,-,21,,,,,,,,,,,,,,,,
3/30/2020,78,16,1,14,-,-,-,-,-,15,2,3,-,1,-,11,1,1,13,,,,,,,,,,,,,,,,
3/31/2020,125,24,1,60,6,-,2,-,-,13,-,-,1,-,-,2,1,-,15,,,,,,,,,,,,,,,,
4/1/2020,101,24,3,20,5,4,-,-,-,22,2,-,3,1,3,2,4,-,8,,,,,,,,,,,,,,,,
4/2/2020,89,14,-,21,4,1,-,1,-,18,1,-,2,-,2,2,6,-,17,,,,,,,,,,,,,,,,
4/3/2020,86,18,-,9,1,1,-,-,-,23,2,1,1,1,1,5,1,-,22,,,,,,,,,,,,,,,,
4/4/2020,94,22,-,27,3,-,-,-,-,23,1,-,1,-,-,1,1,-,15,,,,,,,,,,,,,,,,
4/5/2020,81,24,-,7,2,1,1,-,-,10,3,-,-,1,-,4,1,3,24,,,,,,,,,,,,,,,,
4/6/2020,47,11,-,13,1,-,2,-,-,8,-,-,1,-,-,2,2,-,7,,,,,,,,,,,,,,,,
4/7/2020,47,4,1,13,-,-,-,-,-,10,2,-,1,-,-,1,1,-,14,,,,,,,,,,,,,,,,
4/8/2020,53,11,2,9,4,-,-,-,-,6,2,-,-,1,-,3,1,-,14,,,,,,,,,,,,,,,,
4/9/2020,39,12,-,4,-,-,-,-,-,10,-,-,1,-,-,-,2,-,10,,,,,,,,,,,,,,,,
4/10/2020,27,5,1,-,1,-,-,-,-,9,-,-,-,-,-,7,-,-,4,,,,,,,,,,,,,,,,
4/11/2020,30,4,-,7,-,-,-,1,-,9,-,-,-,-,-,3,-,-,6,,,,,,,,,,,,,,,,
4/12/2020,32,3,-,2,1,-,-,-,-,4,-,-,1,-,-,3,-,-,18,,,,,,,,,,,,,,,,
4/13/2020,25,8,-,3,1,-,-,-,-,3,-,-,-,-,-,4,-,-,6,,,,,,,,,,,,,,,,
4/14/2020,27,2,-,3,1,-,-,1,-,8,-,-,-,-,-,5,-,-,7,,,,,,,,,,,,,,,,
4/15/2020,27,5,1,1,-,1,-,-,-,6,2,-,-,-,-,6,-,1,4,,,,,,,,,,,,,,,,
4/16/2020,22,2,3,4,-,-,-,-,-,4,1,-,-,-,-,4,-,-,4,,,,,,,,,,,,,,,,
4/17/2020,22,2,-,-,1,2,-,-,-,1,-,-,-,-,-,4,1,-,11,,,,,,,,,,,,,,,,
4/18/2020,18,1,-,3,1,-,-,-,-,4,1,-,2,-,-,2,-,-,4,,,,,,,,,,,,,,,,
4/19/2020,8,2,-,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,2,,,,,,,,,,,,,,,,
4/20/2020,13,-,2,1,1,-,-,1,-,2,-,-,-,-,-,2,-,-,4,,,,,,,,,,,,,,,,
4/21/2020,9,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,3,,,,,,,,,,,,,,,,
4/22/2020,11,2,2,1,-,-,1,-,-,-,-,-,-,-,-,2,1,-,2,,,,,,,,,,,,,,,,
4/23/2020,8,-,1,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,
4/24/2020,6,-,1,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,
4/25/2020,10,1,-,2,-,-,-,-,-,2,-,-,-,-,-,1,-,-,4,,,,,,,,,,,,,,,,
4/26/2020,10,-,1,1,-,-,-,-,-,6,-,-,-,1,-,-,-,-,1,,,,,,,,,,,,,,,,
4/27/2020,10,-,-,1,-,-,-,-,-,3,-,-,1,-,-,-,-,-,5,,,,,,,,,,,,,,,,
4/28/2020,14,4,-,2,1,-,-,-,-,3,-,-,-,-,-,1,-,-,3,,,,,,,,,,,,,,,,
4/29/2020,9,-,-,3,-,-,-,-,-,2,-,-,1,-,-,-,-,-,3,,,,,,,,,,,,,,,,
4/30/2020,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,,,,,,
5/1/2020,9,1,-,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,4,,,,,,,,,,,,,,,,
5/2/2020,6,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,,,,,,,,,,,,,,,,
5/3/2020,13,2,-,4,-,-,-,-,-,2,-,-,-,-,-,-,-,-,5,,,,,,,,,,,,,,,,
5/4/2020,8,-,-,-,1,-,-,1,-,1,-,-,-,-,1,-,-,-,4,,,,,,,,,,,,,,,,
5/5/2020,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,
5/6/2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,
5/7/2020,4,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,
5/8/2020,12,-,2,3,-,-,-,-,-,2,-,1,-,1,-,-,-,-,3,,,,,,,,,,,,,,,,
5/9/2020,18,12,1,-,1,-,-,-,-,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
5/10/2020,34,14,-,2,3,-,-,-,-,6,-,2,-,-,-,-,-,1,6,,,,,,,,,,,,,,,,
5/11/2020,35,21,-,-,3,-,-,-,1,3,1,3,-,-,-,-,-,-,3,,,,,,,,,,,,,,,,
5/12/2020,27,12,-,1,1,-,2,-,-,8,-,-,-,-,-,1,1,-,1,,,,,,,,,,,,,,,,
5/13/2020,26,11,3,3,2,-,-,1,-,3,-,-,-,1,-,-,1,-,1,,,,,,,,,,,,,,,,
5/14/2020,29,4,-,-,12,-,-,-,-,6,1,3,1,-,1,1,-,-,-,,,,,,,,,,,,,,,,
5/15/2020,27,14,-,3,5,-,-,-,-,3,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,
5/16/2020,19,5,-,1,-,-,-,-,-,4,-,1,-,-,-,-,-,-,8,,,,,,,,,,,,,,,,
5/17/2020,13,5,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,4,,,,,,,,,,,,,,,,
5/18/2020,15,1,-,1,-,-,-,-,-,3,-,3,-,-,-,-,-,-,7,,,,,,,,,,,,,,,,
5/19/2020,13,6,-,-,2,-,-,4,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
5/20/2020,32,10,-,1,8,-,-,-,-,10,-,-,-,1,-,-,-,-,2,,,,,,,,,,,,,,,,
5/21/2020,12,4,-,-,6,-,-,-,-,-,-,-,1,-,-,-,-,-,1,,,,,,,,,,,,,,,,
5/22/2020,20,2,-,-,1,-,-,1,-,6,-,-,-,-,-,2,1,-,7,,,,,,,,,,,,,,,,
5/23/2020,23,4,-,1,-,-,1,-,-,13,-,-,-,-,-,-,1,-,3,,,,,,,,,,,,,,,,
5/24/2020,25,6,-,-,2,-,-,-,-,6,1,-,-,-,-,6,-,-,4,,,,,,,,,,,,,,,,
5/25/2020,16,6,-,1,1,-,-,-,-,6,-,-,-,-,-,1,-,-,1,,,,,,,,,,,,,,,,
5/26/2020,19,9,-,1,3,-,-,-,-,2,-,1,-,-,-,1,-,-,2,,,,,,,,,,,,,,,,
5/27/2020,40,19,-,3,11,-,-,-,-,6,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,
5/28/2020,79,24,1,2,22,-,-,-,-,21,-,-,1,-,-,1,-,-,7,,,,,,,,,,,,,,,,
5/29/2020,58,20,-,-,18,-,-,-,-,20,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
5/30/2020,39,9,1,2,5,2,-,-,-,13,1,-,-,-,1,-,-,-,5,,,,,,,,,,,,,,,,
5/31/2020,27,6,1,1,3,-,1,2,-,12,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,
6/1/2020,35,1,-,1,18,-,-,-,-,12,-,-,-,-,1,-,-,-,2,,,,,,,,,,,,,,,,
6/2/2020,38,14,-,-,9,-,-,-,-,14,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,
6/3/2020,49,19,-,1,16,-,-,-,-,13,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
6/4/2020,39,14,-,-,7,-,-,-,-,15,-,-,-,-,-,1,-,-,2,,,,,,,,,,,,,,,,
6/5/2020,39,15,-,1,6,-,-,-,-,13,-,-,1,-,-,2,-,-,1,,,,,,,,,,,,,,,,
6/6/2020,51,23,-,-,11,-,-,-,-,8,1,-,1,-,-,1,1,-,5,,,,,,,,,,,,,,,,
6/7/2020,57,27,-,1,6,-,-,1,-,19,-,1,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,
6/8/2020,37,21,-,1,4,-,-,-,-,8,-,-,-,-,-,-,-,-,3,,,,,,,,,,,,,,,,
6/9/2020,38,19,-,-,3,-,-,-,-,13,-,-,2,-,-,-,1,-,-,,,,,,,,,,,,,,,,
6/10/2020,50,12,-,-,8,-,-,-,-,21,1,-,-,-,-,-,2,-,6,,,,,,,,,,,,,,,,
6/11/2020,45,21,-,-,6,-,-,-,-,16,-,-,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,
6/12/2020,56,25,-,1,1,-,-,-,-,19,-,-,-,-,-,-,-,-,10,,,,,,,,,,,,,,,,
6/13/2020,48,29,-,3,1,-,-,-,-,14,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,
6/14/2020,34,12,-,2,8,-,-,-,-,10,1,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,
6/15/2020,37,7,-,-,8,-,-,-,-,10,-,-,2,-,-,-,3,-,7,,,,,,,,,,,,,,,,
6/16/2020,34,12,1,-,2,-,3,-,-,5,-,-,-,-,-,-,2,-,9,,,,,,,,,,,,,,,,
6/17/2020,43,13,-,1,2,-,5,-,-,13,-,-,1,-,-,-,-,1,7,,,,,,,,,,,,,,,,
6/18/2020,59,25,-,1,1,-,7,-,1,16,-,-,3,1,-,-,-,-,4,,,,,,,,,,,,,,,,
6/19/2020,49,18,-,-,-,-,6,-,-,11,-,-,-,-,-,-,-,3,11,,,,,,,,,,,,,,,,
6/20/2020,67,14,2,2,5,-,5,-,-,17,-,-,2,1,-,1,-,-,18,,,,,,,,,,,,,,,,
6/21/2020,48,17,-,1,-,1,10,-,1,10,2,-,1,-,-,-,1,-,4,,,,,,,,,,,,,,,,
6/22/2020,17,5,-,1,1,-,-,-,-,6,-,-,2,1,-,1,-,-,-,,,,,,,,,,,,,,,,
6/23/2020,46,6,-,1,1,-,4,-,-,7,-,1,-,-,-,-,-,-,26,,,,,,,,,,,,,,,,
6/24/2020,51,11,2,2,3,-,8,2,-,7,1,-,1,1,-,1,-,-,12,,,,,,,,,,,,,,,,
6/25/2020,28,9,-,-,1,-,4,-,-,9,-,-,1,-,-,-,-,-,4,,,,,,,,,,,,,,,,
6/26/2020,39,17,-,-,2,-,4,-,-,4,1,-,3,-,-,1,-,-,7,,,,,,,,,,,,,,,,
6/27/2020,51,17,-,1,1,-,2,-,-,17,-,1,-,1,-,-,-,-,11,,,,,,,,,,,,,,,,
6/28/2020,62,14,-,-,-,4,6,-,-,17,-,1,1,-,3,-,-,-,16,,,,,,,,,,,,,,,,
6/29/2020,42,7,1,2,1,4,2,-,-,16,-,-,-,1,1,1,1,-,5,,,,,,,,,,,,,,,,
6/30/2020,42,7,1,-,3,3,5,-,1,7,1,-,-,-,-,1,-,-,13,,,,,,,,,,,,,,,,
7/1/2020,51,9,-,1,2,12,4,-,-,16,-,-,1,-,1,-,-,-,5,,,,,,,,,,,,,,,,
7/2/2020,54,13,-,3,-,22,1,-,-,10,-,-,3,-,-,-,-,-,2,,,,,,,,,,,,,,,,
7/3/2020,61,12,-,11,1,6,4,-,-,18,-,-,1,1,-,1,2,-,4,,,,,,,,,,,,,,,,
7/4/2020,63,7,1,1,2,8,3,-,-,19,-,2,-,-,-,1,1,-,18,,,,,,,,,,,,,,,,
7/5/2020,61,16,-,-,-,16,8,-,-,8,1,-,-,1,-,1,-,1,9,,,,,,,,,,,,,,,,
7/6/2020,48,3,1,2,6,7,2,-,-,6,1,-,1,-,2,1,1,-,15,,,,,,,,,,,,,,,,
7/7/2020,44,3,-,1,2,6,2,-,-,13,-,-,-,1,-,-,-,-,16,,,,,,,,,,,,,,,,
7/8/2020,62,10,-,1,1,8,2,-,-,18,-,-,6,2,1,-,2,-,11,,,,,,,,,,,,,,,,
7/9/2020,50,8,-,-,3,15,6,-,-,8,-,-,1,1,1,-,2,-,5,,,,,,,,,,,,,,,,
7/10/2020,45,8,-,-,1,3,7,-,-,14,-,2,-,-,3,-,3,-,4,,,,,,,,,,,,,,,,
7/11/2020,35,8,-,-,1,9,2,-,-,4,-,-,1,2,-,-,-,-,8,,,,,,,,,,,,,,,,
7/12/2020,44,7,-,-,-,5,1,-,-,17,-,-,-,1,-,-,1,-,12,,,,,,,,,,,,,,,,
7/13/2020,62,13,-,1,3,7,-,-,-,11,2,1,4,-,-,-,2,-,18,,,,,,,,,,,,,,,,
7/14/2020,33,7,-,-,-,1,1,-,-,9,-,1,-,2,-,-,-,-,12,,,,,,,,,,,,,,,,
7/15/2020,39,6,-,-,1,1,3,-,-,5,-,-,-,-,-,-,-,-,23,,,,,,,,,,,,,,,,
7/16/2020,61,7,-,2,3,1,1,1,-,21,3,1,-,-,-,-,1,-,20,,,,,,,,,,,,,,,,
7/17/2020,60,9,-,-,-,5,1,-,-,15,-,-,-,-,-,-,2,3,25,,,,,,,,,,,,,,,,
7/18/2020,39,6,1,3,2,-,-,1,-,10,-,-,-,-,1,-,2,1,12,,,,,,,,,,,,,,,,
7/19/2020,34,10,-,-,1,10,1,-,-,4,-,-,-,-,-,-,-,1,7,,,,,,,,,,,,,,,,
7/20/2020,26,3,-,2,2,1,-,-,-,1,-,-,1,1,2,1,2,-,10,,,,,,,,,,,,,,,,
7/21/2020,45,21,-,2,-,-,-,-,-,2,-,-,-,-,-,1,-,1,18,,,,,,,,,,,,,,,,
7/22/2020,63,16,-,1,5,4,-,-,-,15,-,1,1,-,-,-,1,-,19,,,,,,,,,,,,,,,,
7/23/2020,59,12,2,-,3,9,-,-,-,28,-,-,-,-,-,-,-,-,5,,,,,,,,,,,,,,,,
7/24/2020,41,21,2,2,-,2,-,-,-,8,-,-,-,-,-,1,2,-,3,,,,,,,,,,,,,,,,
7/25/2020,113,11,5,-,-,-,-,1,-,14,-,-,-,-,1,-,-,-,81,,,,,,,,,,,,,,,,
7/26/2020,58,7,1,-,-,1,-,-,-,7,-,-,-,-,-,-,-,-,42,,,,,,,,,,,,,,,,
7/27/2020,25,9,1,-,-,-,-,-,-,6,-,1,1,-,-,-,-,-,7,,,,,,,,,,,,,,,,
7/28/2020,28,6,2,-,-,-,-,-,-,6,-,-,1,-,2,1,-,-,10,,,,,,,,,,,,,,,,
7/29/2020,48,9,1,-,3,1,-,1,-,11,-,-,-,-,-,1,-,-,21,,,,,,,,,,,,,,,,
7/30/2020,18,3,-,-,-,-,-,-,-,5,-,-,-,-,-,1,1,-,8,,,,,,,,,,,,,,,,
7/31/2020,36,8,-,1,-,-,-,-,-,10,2,-,1,-,-,2,-,-,12,,,,,,,,,,,,,,,,
8/1/2020,31,2,1,-,1,-,-,-,-,7,-,-,-,-,-,1,-,-,19,,,,,,,,,,,,,,,,
8/2/2020,30,5,1,2,-,1,-,-,-,3,-,-,-,-,-,1,-,-,17,,,,,,,,,,,,,,,,
8/3/2020,23,5,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2,-,14,,,,,,,,,,,,,,,,
8/4/2020,34,9,1,-,1,2,-,-,-,11,-,1,-,-,1,1,-,-,7,,,,,,,,,,,,,,,,
8/5/2020,33,6,-,1,1,1,-,-,-,7,1,6,-,-,-,-,4,-,6,,,,,,,,,,,,,,,,
8/6/2020,43,9,3,-,-,-,-,-,-,13,2,1,2,-,2,4,1,-,6,,,,,,,,,,,,,,,,
8/7/2020,20,9,-,-,-,-,-,-,-,5,-,-,-,-,-,1,-,-,5,,,,,,,,,,,,,,,,
8/8/2020,43,17,-,1,2,-,-,-,-,18,-,-,-,-,-,-,-,-,5,,,,,,,,,,,,,,,,
8/9/2020,36,13,-,1,1,2,-,1,-,15,-,1,1,-,-,-,-,-,1,,,,,,,,,,,,,,,,
8/10/2020,28,13,1,-,-,-,-,-,-,6,-,-,-,-,1,1,-,-,6,,,,,,,,,,,,,,,,
8/11/2020,34,6,9,-,-,-,-,-,-,13,-,-,2,1,-,-,-,-,3,,,,,,,,,,,,,,,,
8/12/2020,54,15,4,-,-,6,1,-,-,19,-,-,1,-,-,-,-,-,8,,,,,,,,,,,,,,,,
8/13/2020,56,26,2,1,-,2,-,1,-,17,-,-,1,2,-,-,1,-,3,,,,,,,,,,,,,,,,
8/14/2020,103,32,5,-,4,2,-,1,-,47,1,-,3,-,-,1,-,-,7,,,,,,,,,,,,,,,,
8/15/2020,166,74,3,-,6,1,1,-,-,72,3,-,2,1,-,-,1,-,2,,,,,,,,,,,,,,,,
8/16/2020,279,146,7,1,9,7,-,3,-,98,-,1,5,-,-,-,2,-,-,,,,,,,,,,,,,,,,
8/17/2020,197,90,7,1,7,7,2,-,-,70,1,3,4,1,-,2,-,-,2,,,,,,,,,,,,,,,,
8/18/2020,246,132,7,6,18,4,-,3,-,52,2,1,5,7,-,3,-,-,6,,,,,,,,,,,,,,,,
8/19/2020,297,151,9,2,8,6,-,-,2,99,6,2,3,1,2,3,1,-,2,,,,,,,,,,,,,,,,
8/20/2020,288,135,15,3,10,1,8,-,1,85,5,1,5,6,3,5,3,-,2,,,,,,,,,,,,,,,,
8/21/2020,324,126,8,4,18,5,7,1,3,103,9,3,13,5,6,6,4,-,3,,,,,,,,,,,,,,,,
8/22/2020,332,129,3,9,21,11,5,3,1,95,16,2,7,4,7,4,9,2,4,,,,,,,,,,,,,,,,
8/23/2020,396,140,2,6,32,17,15,3,-,124,15,3,10,-,14,2,9,-,4,,,,,,,,,,,,,,,,
8/24/2020,266,97,3,-,20,1,10,1,3,85,6,10,8,4,7,6,1,-,4,,,,,,,,,,,,,,,,
